taxon_names,DRR127476,DRR127478,DRR127481,DRR127485,DRR127491,DRR127507,DRR127509,DRR127514,DRR127515,DRR127517,DRR127519,DRR127521,DRR127536,DRR127557,DRR127559,DRR127567,DRR127579,DRR127580,DRR127594,DRR127603,DRR127617,DRR127625,DRR127638,DRR127646,DRR127647,DRR127666,DRR127669,DRR127674,DRR127685,DRR127700,DRR127708,DRR127718,DRR127720,DRR127754,DRR127767,DRR127774,DRR127789,DRR162777,DRR162778,DRR162779
g__Acidaminococcus,0,0,0,0,0,0,0,0,0.0094362,0,0,0,5.70E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0035094,0,0.0111043,0,0,0,0,0,0.0298834,0,0,0,0.0049436,0,0
g__Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Actinomyces,0.0014865,0.0001838,0,0,0,0.0001623,4.41E-05,0.0091689,9.11E-05,1.50E-06,7.86E-05,2.99E-05,0.0004067,0,0,0.0013322,3.10E-06,2.40E-05,0.000126,0,0.0003276,0,0,0,0.0006451,0,0.0029952,8.54E-05,0.0040543,0.00212,0,0,0.0002316,0.0005717,0,3.36E-05,0,0.0001128,6.11E-05,0
g__Adlercreutzia,0,0.002105,9.33E-05,0.0005084,6.43E-05,0,0,0,0.0002486,0,0,0,0.0006037,9.19E-05,1.33E-05,0,0,0,0,0.0027823,0,0.0005213,0,0.001017,0,2.90E-06,0,0,0.0012471,0.0001886,0,0,0,0,0.0014698,0.0005025,0,0,0.0012375,0
g__Aeromonas,0,0,0,0,0,0,0,0,0,0,0.00028,0.0007295,0,0.0002652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Agathobaculum,0.000227,0.0086998,0.0032492,0.0042952,0.0041176,0.005126,0.0039645,0.0017817,0.0043826,0.0027187,0.0062058,0.0053469,0.003219,0.0008259,0.0013915,0,0,0.0037952,0.0078239,0.0075705,0.0001929,0.0004369,0.0004061,9.53E-05,0,0.000696,0.0051229,0.0031465,0.0015341,2.47E-05,0.0022954,0,0.003192,0.0019765,0.0005938,0.0073153,0.0007387,0.0034475,0.003249,0.0109638
g__Akkermansia,0,0,0.0402378,0,0,0,0.0003594,0,0,0.0005335,0,0,0,0.0001693,9.25E-05,0,0.0316047,0.0134028,0.0005047,0,0.0017183,2.69E-05,0,0.0035704,0,4.89E-05,0.0003939,0,0,0.0380199,0.0703114,0,0.1249339,0,0.0274203,0.0017822,0,0,0.000589,0.0036218
g__Alistipes,0.0420499,0.0009527,0.0667273,0.0700864,0.0011773,0,0.0209927,0.0017443,0.0796588,0.024878,0,0,0.0652959,0.0150414,0.0206833,0,0,0.1673764,0.0067133,0.0167057,0.0069538,0.0143937,0,0.0107143,3.67E-05,0.0131972,0.0016639,0.016457,0.0028599,0.1134096,0.0084136,0,0.0102888,0.0069782,0.0594045,0.0104847,0.0213355,0.0004015,0.059064,0.0438151
g__Alloprevotella,0,0,0,0.0005574,0,0,4.32E-05,0.0001823,0,0,0,0.0023164,0,0,0,1.09E-05,0,0,0,0,0.0001937,0,0,0,0,0,0,0.0072158,0,0,0,0,0,0,0,0,0.0002645,0,0.0001316,0
g__Anaerostipes,0.0009113,0,0.0422119,0.0069677,0.0072062,0.0106377,0.0220192,0.0205607,0.0179489,0.0056316,0.0531493,1.59E-05,0.0335332,0.0007345,0.0031784,0,0,0.0008596,0.0106832,0.0029036,0.0001152,0.0031431,0.0020317,0.0036033,0,0.0007355,0.0001213,0.0028475,0.0055886,0.0003213,0,0.0001541,0.0036594,0.0047982,0.0086751,0.0014446,2.60E-06,0.0590595,0.0040217,0.0199185
g__Anaerotignum,0.0037688,0,0.0025652,0,0,0,0.0290117,0.0003221,0.0003206,0,0,0.0031776,0.0270252,0.0012328,0.0003354,0,0,0.0001201,0,0.0012075,0,0,0,0,1.73E-05,0,9.56E-05,0,0,0,0,0,0,8.20E-05,0,0,0,7.14E-05,0,0.00578
g__Anaerotruncus,0,7.92E-05,1.24E-05,0,0,0,0.000623,0,0.0008478,6.66E-05,0,0,3.75E-05,0,0.0001078,0,0,0.0013577,0,0,0.0003175,0,0.0025222,0,0,3.63E-05,0,0.000301,0,0.0004729,0.0100607,0,0.0013863,0.0003955,0.002352,0,0.0001413,0,2.63E-05,0.0006779
g__Asaccharobacter,0,0.000465,5.37E-05,0.0001023,1.59E-05,0,0,0,7.05E-05,0,0,0,0.0001426,1.57E-05,0,0,0,0,0,0.0011717,0,0.0001114,0,0.0003102,0,0,0,0,0.0004019,3.35E-05,0,0,0,0,0.0004424,0.0001474,0,0,0.0003516,0
g__Atopobium,3.55E-05,0,0,0,0,2.27E-05,0,0.0011475,0,2.72E-05,0,2.22E-05,0,0,0,7.93E-05,0,0,0,0,0,0,0,0,0,2.88E-05,0.0002503,0,0.0006237,0,0,0,0,0,0,0.000566,0,0,0,0
g__Bacteroides,0.122526,0.3885561,0.5038891,0.132559,0.0872317,0.4001913,0.4406136,0.3129749,0.110162,0.4035388,0.62207,0.3937286,0.4113781,0.2033682,0.4199076,0.0645109,0.5075922,0.4390037,0.0909081,0.0477514,0.1572227,0.3022117,0.8118523,0.1637185,0.7322558,0.0705687,0.4045621,0.4459905,0.1417757,0.2596933,0.2809595,0.5652128,0.2827829,0.1321488,0.0568715,0.2784567,0.4144483,0.3914847,0.3520354,0.4711164
g__Barnesiella,0,0.0081864,0,0.0091917,0,0,0,0.0115654,0.0131593,0,0,0,0.0127322,0.0023858,0.0077644,0,0,0,0.0014132,0,0.0048521,0.0008536,0,0.0025267,0,0.0048973,0,0,0,0.0052475,0.0295771,0,0,0.0274731,0.0237765,0.0023275,0.0029402,0.0046168,0.0036226,0
g__Bifidobacterium,0.0087094,0.0050943,0.0134334,0.0239027,0.0885376,7.08E-05,0.0194366,0.1025661,0.0873208,0.0144717,0.0012833,0.0255611,0.0294693,0.0014732,0.0147136,0,0.1592875,0.002913,0.0339616,0.0203312,0.0049569,0.0128039,0.0263833,0.3669683,0.0685077,0.0033394,0.0382709,0.0302758,0.1231996,0.0425281,0.0424321,0,0.0068103,0.0442405,0.2831743,0.0008401,0.0321713,0.114963,0.0250855,0.0009906
g__Bilophila,0.0001318,0.0006729,0.0004879,0.0001147,0,0,0.0006087,0.0001682,0.0018476,0.0005942,0.0006005,0.0018096,0,0,0.0005709,0,0,0,0.0001367,0.0006367,0.0002302,0,0,0.001351,0.0020454,2.34E-05,0.0005342,0,0.0006421,0.0036004,0.0003931,0,4.93E-05,0.0010245,0.0001324,0,0.0003139,0,0.0005916,0.0006279
