taxon_names,ERR1018185,ERR1018186,ERR1018187,ERR1018188,ERR1018189,ERR1018190,ERR1018191,ERR1018192,ERR1018194,ERR1018196,ERR1018197,ERR1018198,ERR1018199,ERR1018200,ERR1018201,ERR1018202,ERR1018203,ERR1018204,ERR1018206,ERR1018207,ERR1018208,ERR1018210,ERR1018211,ERR1018212,ERR1018213,ERR1018214,ERR1018215,ERR1018216,ERR1018218,ERR1018219,ERR1018220,ERR1018221,ERR1018222,ERR1018223,ERR1018224,ERR1018225,ERR1018226,ERR1018227,ERR1018228,ERR1018229,ERR1018230,ERR1018231,ERR1018241,ERR1018279,ERR1018280,ERR1018281,ERR1018282,ERR1018283,ERR1018284,ERR1018285,ERR1018286,ERR1018287,ERR1018288,ERR1018289,ERR1018290,ERR1018291,ERR1018292,ERR1018293,ERR1018294,ERR1018295,ERR1018296,ERR1018297,ERR1018298,ERR1018299,ERR1018300,ERR1018301,ERR1018302,ERR1018303,ERR1018304,ERR1018305,ERR1018306,ERR1018307,ERR1018310,ERR1018311,ERR1018312
g__Acidaminococcus,0.0025554,1.84E-05,0,0,0,0,0,5.76E-05,0,0,0,0,0.1856146,0,1.26E-05,0,0,0,0,0,8.48E-05,0,0,0,0,0.0259109,9.92E-05,0,0,0,0.0026547,0,0,0,0,0.0220093,4.00E-06,0,0.0117524,0.000158,0,0,0,0,0,0,0,0.0002206,0.0172073,0,0,0,0,0,0,0,0,0,0.0173698,0,0,0,0.0005195,0,1.17E-05,0.0006309,0,0,0.0182411,0,0,0.0120337,0.0150716,0,0
g__Actinomyces,0.0015962,0,0.0009281,0.0001368,0,0,0.0010408,0,2.68E-05,0.0001735,0,0.0013446,0,0.000636,0,0,0,0,9.46E-05,0,3.00E-06,0,3.12E-05,4.42E-05,0.0038849,0,0.0004805,0,0,0.0002489,0,9.89E-05,0,0,0.000581,0,1.44E-05,0,3.46E-05,0.0003671,0,2.25E-05,0,8.22E-05,2.70E-05,0.0160134,0.0001071,0.0003607,5.95E-05,0,0,0.0001121,0,5.97E-05,0,0,0,0.000343,1.61E-05,0,6.55E-05,0,3.61E-05,2.14E-05,0,0,0,0,0,6.10E-05,4.37E-05,0.0003117,0,1.03E-05,0.0011028
g__Adlercreutzia,0.0017648,0,0,0.0013686,8.59E-05,0.0014802,0.001526,0,0,0.0005124,0.0004719,0,0,4.14E-05,0.0016586,0,2.19E-05,0,0,0.0006699,0.0002369,9.50E-06,0.0017294,0.0037082,3.50E-06,0,5.04E-05,0,0,0,8.39E-05,0.0007957,0.0010586,0.0006557,0,0,0,0.0008475,0.0015749,1.59E-05,0.0002473,8.21E-05,0,0,0.0003289,0.0046814,2.00E-06,0,0.0011563,0,0,0,0,0,0.0005974,0.0001897,0,1.67E-05,0.0023508,0.0001597,0,0.0002588,0.0004795,0,0.0001823,0.0001566,0,0,0,0.000355,0.0001954,0.0009204,0.0001191,0.0017495,0
g__Aeromonas,0,0,0,0,0,0,0,0,6.20E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Agathobaculum,0.0027362,0.0036794,0.0011622,0.03037,0,0.0077879,0.0030056,0,0.0014528,0.0007112,0.0018713,0.0109871,0.005002,0.0377023,0.0069392,0.0005317,0.0009458,0,0.0039369,0.0004508,0.0004998,0,0.0042657,1.55E-05,0.0167244,0.0003992,0.0388771,0.0030645,0.0012805,0.0052297,0.0061547,0.0008212,0.0002379,0.0004016,0.0003965,0.0005956,0.0018772,0.0024429,0.006163,0.0146145,0.0002411,0.0001667,0,2.91E-05,0.0187416,4.21E-05,0.0032172,0.0095094,0.0029803,0.0007971,0.0016742,0.0258632,0.0001083,0.000704,0.0016502,0.0013286,0,0,0.0001372,0.0023262,0.0012997,0.0025516,4.90E-06,0,0.0014016,0.0004662,0.0056542,0.0111431,0.0004422,0.0041013,0.0047832,0.0141007,0.0009469,0.0170631,0.0110226
g__Akkermansia,0.2519192,0.1048044,8.56E-05,0.0474026,0.1159265,1.21E-05,1.20E-05,0,0.0033492,0.0001268,0.0001659,3.77E-05,4.47E-05,0.1412254,0.0005356,0.0005162,0.0405874,0.7070544,0.0012677,0,3.45E-05,0.0048162,0.0073824,0.0046874,0.0007932,0,0,2.97E-05,0,0,3.63E-05,0.0646922,0.2594649,0.0025781,0,0,0.0006695,0,0,0.0002563,0.1359472,0.0224341,0,0,0,0.1001926,4.15E-05,0,0,0,0,0,0,0.0686821,0,0,0,0.2840534,0.0205829,0,0,0.0001657,0.1870774,0,0,5.25E-05,0.0243466,0,0.0023828,0,0,0.0002475,0,0,0.0003648
g__Alistipes,0.0275593,0.0030416,0.0015548,0.0338268,0.0523451,0.0729466,0.002219,0,0.0193391,0.0488806,0.0531548,0.0277616,0.0078252,0,0.060725,0.0165624,0.0487215,8.10E-06,2.63E-05,0.0117361,0.0001362,0.0339478,0.0787155,0.0056995,6.16E-05,0.0349049,0.0015893,0.0113487,0.090454,0,0.0538986,0.1257746,0.0869588,0.1033127,3.89E-05,0.0006584,0.000159,0.0312002,0.0025315,0.0009309,0.056137,0.0738513,0.0015374,0,0,0.1036705,0.0052466,2.97E-05,0.0407968,0.0107647,0.0008533,0.0022384,0.0665687,0.1201727,0.0522539,0.0196577,0,0.0154669,0.1449584,0.0013724,0.0029176,0.0100213,0.0264135,0.0008847,0.0500961,0.0543029,0.0014368,0.0013225,0,0.0982103,0.0014041,2.53E-05,0.0034612,0.048291,0.003362
g__Alloprevotella,0,0,0,0,0,0,0,0.0059297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008845,0,0,0.0005518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003635,0,0,0,0,0.0464341,0,2.42E-05,0,0,0,0,0,0,0
g__Anaeromassilibacillus,6.02E-05,0,0.0022634,0.0003123,0.0001942,0,0.0013502,0,5.60E-05,0,0.0001964,0,0,0.0029279,3.12E-05,0,0,0,0,0,1.73E-05,0,0.0008443,0.0041673,0,6.74E-05,0,0.0001595,0,0,0,0.0013988,0.0007214,0.0006375,0,0,0.0012229,0,0.0007327,0,0.0040999,0.0001803,0,0,0,0,0.0003629,0.0007749,0.0029971,3.76E-05,0,0,0.0003007,0,0.0002693,0,4.54E-05,5.20E-06,0.0007937,0,0,3.89E-05,5.00E-06,0,0,0.0002031,0,0,0,0,0,0,0,0,0
g__Anaerostipes,0.0261961,0.001949,0.0068222,0.0094194,0.0024404,0.0095454,0.0081734,0,0.0001709,0.0002648,0.0035822,0.0007115,0.044476,0.0267324,0.0261521,0.0026373,0.0011079,0.0001389,0.0348742,0.0003625,0.0009279,0.0755489,0.0049651,0.0019407,0.1893888,0.0001146,0.1169555,0.0051213,0.0104322,0.0001599,0.0012562,0.0128182,0.0003882,0.0070029,0.0931338,3.34E-05,0.0028123,0.0006321,0.0072106,0.0398699,0.0102933,0.0016261,0,4.83E-05,0.0178479,0.0019302,0.0003983,0.0083865,0.0060292,0.0013732,0.0060646,0.0445844,0.0053139,0.0031154,0.0005101,0.0035039,0.0059298,0.0048079,0.0009515,0.0009768,0.0349186,0.0047784,0.0007273,0,0.0023088,1.31E-05,0.0092161,0.0075482,2.70E-05,0.0021761,0.0073616,0.0014848,0.0001588,0.0090509,0.0029906
