taxon_names,DRR127488,DRR127524,DRR127532,DRR127535,DRR127537,DRR127546,DRR127552,DRR127583,DRR127588,DRR127596,DRR127597,DRR127613,DRR127616,DRR127619,DRR127628,DRR127634,DRR127649,DRR127672,DRR127683,DRR127692,DRR127704,DRR127707,DRR127713,DRR127721,DRR127724,DRR127728,DRR127731,DRR127736,DRR127737,DRR127748,DRR127751,DRR127752,DRR127755,DRR127756,DRR127762,DRR127763,DRR127776,DRR127777,DRR162775,DRR162776
g__Acidaminococcus,0.0028875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408486,0,0,0,0,0.0235358,0.0035921,8.80E-06,0,0.0480917,0,0.0153924,0.0275382,6.00E-06,0,0,0,0,0,0,0,0,0
g__Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Actinomyces,1.22E-05,6.02E-05,0.0017195,0,2.23E-05,0,0,0,0,0.0015183,0.0003616,0,0,0,3.52E-05,2.82E-05,0,0,0,0,1.02E-05,0.0022681,2.62E-05,0,3.42E-05,0.0001526,1.11E-05,0,0.0003129,5.49E-05,0.0005359,3.19E-05,2.80E-05,0.0065753,0,0,3.62E-05,0.0004137,0,8.73E-05
g__Adlercreutzia,0.0008036,0,0,0.000688,0,0.0006287,0,0,0,0,0.0003294,0,0.0007564,0,0.0006772,0.000498,3.74E-05,0.0016156,7.80E-06,0,0.0003598,0,0,0,0,0.0002399,0,0,0,7.51E-05,0,0,0,0,0,0.0002733,0,0.0011525,0,0
g__Aeromonas,0,0,0,0,0,0,0,0,0,0,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Agathobaculum,0.0009883,0.0006881,0.0093865,0.0031318,0,0.0055655,0.0145462,0.0073556,0.0072896,0.0021163,0.0011686,0.0019283,0.0043081,0,0.0040103,0.0046032,0.0072165,0.0020321,4.18E-05,0.0019313,0,0.0079546,0,0.0073225,0.0103749,0.0050902,0,0,0.0033803,0,0,0.0001906,0.009044,0,0.0003931,0.0058807,0.0036913,0.0090746,0,0.0043358
g__Akkermansia,0,0,0,0,6.40E-06,0,0,0.0001138,0,0,0.0011248,0,0.0001268,0,5.35E-05,0,0.015569,0,0,0,0.0021355,0,0,0,0,0,0.0026692,0,0.0219919,0,0,0,0,0,0,0.0021488,0.007608,8.20E-06,0,0
g__Alistipes,0.0025972,0.0010994,0.0007158,0.006167,0,0.0742372,0,0.0570864,0.0151092,0,0.0376098,0.037906,0.0005142,0,0.0265157,0.0008531,0.0335583,0.002418,0.0188942,0.03594,0.0344237,0.0010421,5.35E-05,0.0003095,0,0.0019348,0.0015969,0.0023993,0.0005068,0,0.0052641,2.69E-05,0,0,0.0139839,0.024377,0,0.0016941,5.13E-05,0.0263953
g__Alloprevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Anaerostipes,0.0022857,0.0001624,0.0056338,0.008888,0.0189706,0.0022766,0.0074997,0.0032375,0,0,0.0005461,0.0002191,0.0064042,0,0.0141956,0.0169621,0.0035469,0,0,0.0046745,0.006807,0.0131248,0.0185767,0.0027477,0,0.0168414,0.0156328,3.90E-06,0.0004832,0,0,0.0067192,0.0284622,0.0090803,0.0042783,0.0034474,0.0004664,0.0176061,0.0007849,0.0139062
