taxon_names,SRR5903321,SRR5903322,SRR5903331,SRR5903332,SRR5903333,SRR5903334,SRR5903335,SRR5903340,SRR5903341,SRR5903343,SRR5903344,SRR5903347,SRR5903348,SRR5903349,SRR5903350,SRR5903351,SRR5903352,SRR5903353,SRR5903354,SRR5903355,SRR5903356,SRR5903358,SRR5903359,SRR5903360,SRR5903361,SRR5903362,SRR5903363,SRR5903364,SRR5903370,SRR5903371,SRR5903372,SRR5903373,SRR5903374
g__Absiella,0.0006192,0,0,2.07E-05,0,0.0014982,0.0004974,0.0004212,0,4.58E-05,0.0019151,0,0,0,0.0002936,0,0.0020283,0.0019889,0,0,8.90E-06,1.56E-05,0,0,0,7.20E-06,4.95E-05,0.0020433,0,0,0,0.00029,0
g__Achromobacter,0.0003941,9.97E-05,4.80E-06,0.0002108,0,0,0,0.0003916,3.67E-05,0.0001626,0.0001735,7.85E-05,0.0001031,3.74E-05,0,0,8.10E-06,0.0001582,5.88E-05,7.07E-05,6.41E-05,3.62E-05,7.53E-05,5.17E-05,8.86E-05,7.14E-05,0.0002047,1.81E-05,0,0.0008406,0.0001404,0,0
g__Acidaminococcus,0,0,0,0,0,0.0559509,0.002147,0,0,0.0327587,0,2.54E-05,0,0,0,0,0.0343677,0,0,0,0,0.0003083,0,0,0,0,0.0331245,0.0309748,0,0,0,0,0
g__Actinomyces,8.92E-05,0,6.00E-07,0,0,0,0.0005235,8.04E-05,0,0.0001108,6.00E-07,6.03E-05,0,7.15E-05,0,0,1.70E-05,1.10E-06,7.56E-05,8.00E-07,0,1.60E-05,0,2.69E-05,0,0,7.61E-05,0,0,0,0,9.98E-05,8.20E-06
g__Adlercreutzia,0.0048845,0.000109,0.0002481,0,0.0004608,0.0005533,0.0011739,0.0037836,0.0001248,0.0001394,0,0.0005473,0.000216,0.0002145,0.0218718,0.0004843,0.0001279,0,0.0005913,9.69E-05,0,0.0003143,0.0001755,0.0001765,0.0001305,0,0.0001226,9.80E-05,0.0005614,0.0001471,0.0002168,0,0.0070083
g__Aeromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Agathobaculum,0,0.0011681,7.21E-05,0.0051399,0,0.0030289,0.0282985,0,0.0011743,0.0039654,0.0011278,0.0016113,0.0015982,0.0006037,0,0.007826,0.0007116,0.0013342,0.0021153,0,0.0014841,0.0002039,0.0013124,0.0006159,0,0.0013707,0.0058143,0.0006213,7.02E-05,0.0064632,0.0008297,0.0355558,0.0029087
g__Akkermansia,0.046702,0.0059381,0.0849424,0.0042852,0.2241301,0.0003426,0.218902,0.0439643,0.0064904,0.0302056,0,0.0139627,0.0133089,0.0212802,0.1225231,0.0264117,1.45E-05,0,0.0161638,0.093506,0.0019683,0.0671326,0.0083307,0.0192833,0.091439,0.0021633,0.0321237,0.0002445,0.2642494,0.0171307,0.0379034,0,0.0911236
g__Alistipes,0.0307798,0.0503135,0.0237622,0.0164468,0.0601286,0.0273233,0.0004207,0.0419034,0.0520151,0.1119048,0.0540791,0.1030929,0.0780821,0.0459839,0.0009956,0.0122872,0.1047472,0.054747,0.0985462,0.1344113,0.0269974,0.0188697,0.067033,0.0453513,0.1287745,0.0270766,0.1119037,0.1135481,0.0104551,0.023789,0.0301751,0.0045951,0.0186139
g__Anaeromassilibacillus,0.0064748,0.0002039,0,3.00E-06,0,0,0,0.0038093,0.0002328,0,0,8.81E-05,1.27E-05,0.0001233,0.0006037,0.0022656,0,0,0.0001464,0,1.09E-05,0,1.10E-05,0.0001121,0,3.50E-06,0,0,0,0,0.0001996,1.74E-05,0.0007226
